000000	17
000001	20
000002	2D
000003	69
000004	20
000005	2D
000006	4B
000007	10
000008	10
000009	36
00000a	03
00000b	20
00000c	26
00000d	29
00000e	00
00000f	00

000010	33
000011	20
000012	07
000013	4B
000014	10
000015	10
000016	5D
000017	3F
000018	2F
000019	EC
00001a	03
00001b	20
00001c	10
00001d	0F
00001e	20
00001f	16

000020	01
000021	00
000022	03
000023	0F
000024	20
000025	0D
000026	4B
000027	10
000028	10
000029	5D
00002a	3E
00002b	20
00002c	03
00002d	45
00002e	4F
00002f	46

001036	B4
001037	10
001038	B4
001039	00
00103a	B4
00103b	40
00103c	75
00103d	10
00103e	10
00103f	00
001040	E3
001041	20
001042	19

