005000 14
005001 10
005002 33
005003 48
005004 20
005005 39
005006 00
005007 10
005008 86
005009 28
00500A 10
00500B 30
00500C 30
00500D 10
00500E 15
00500F 48
005010 20
005011 61
005012 3C
005013 10
005014 03
005015 00
005016 10
005017 2A
005018 0C
005019 10
00501A 39
00501B 00
00501C 10
00501D 2D

00501E 0C
00501F 10
005020 36
005021 48
005022 20
005023 61
005024 08
005025 10
005026 33
005027 4C
005028 00
005029 00
00502A 45
00502B 4F
00502C 46
00502D 00
00502E 00
00502F 03
005030 00
005031 00
005032 00

006039 04
00603A 10
00603B 30
00603C 00
00603D 10
00603E 30
00603F E0
006040 20
006041 5D
006042 30
006043 20
006044 3F
006045 D8
006046 20
006047 5D
006048 28
006049 10
00604A 30
00604B 30
00604C 20
00604D 57
00604E 54
00604F 90
006050 39
006051 2C
006052 20
006053 5E
006054 38
006055 20
006056 3F

006057 10
006058 10
006059 36
00605A 4C
00605B 00
00605C 00
00605D F1
00605E 00
00605F 10
006060 00
006061 04
006062 10
006063 30
006064 E0
006065 20
006066 79
006067 30
006068 20
006069 64
00606A 50
00606B 90
00606C 39
00606D DC
00606E 20
00606F 79
006070 2C
006071 10
006072 36

006073 38
006074 20
006075 64
006076 4C
006077 00
006078 00
006079 05

